iter,loss_dev,loss_train
0,1.99623,1.96778
1,1.19762,1.15184
2,1.07603,1.02424
3,1.03894,0.98455
4,1.02289,0.967115
5,1.01433,0.957688
6,1.0091,0.951873
7,1.00561,0.947951
8,1.00312,0.945131
9,1.00123,0.943012
10,0.999765,0.941355
11,0.998577,0.940015
12,0.997595,0.938909
13,0.99676,0.937976
14,0.996042,0.937169
15,0.995411,0.936466
16,0.994848,0.935832
17,0.994335,0.935263
18,0.993868,0.934728
19,0.993424,0.934227
20,0.993003,0.933744
21,0.992595,0.933268
22,0.992186,0.932788
23,0.991771,0.93229
24,0.991337,0.93176
25,0.990876,0.931183
26,0.990375,0.930545
27,0.989819,0.929822
28,0.989192,0.928998
29,0.988484,0.928048
30,0.987682,0.92695
31,0.986775,0.925695
32,0.985758,0.924271
33,0.984638,0.922682
34,0.983421,0.920926
35,0.982131,0.919041
36,0.980791,0.917057
37,0.979435,0.915014
38,0.978091,0.912948
39,0.976784,0.910914
40,0.975541,0.908939
41,0.974372,0.907044
42,0.973288,0.905249
43,0.972291,0.903559
44,0.971374,0.901982
45,0.970534,0.900504
46,0.969768,0.899128
47,0.969067,0.897843
48,0.968421,0.896637
49,0.967827,0.895504
50,0.967277,0.894434
51,0.966765,0.893421
52,0.966284,0.892451
53,0.965836,0.891525
54,0.965408,0.89063
55,0.965008,0.889758
56,0.964618,0.888918
57,0.96425,0.888096
58,0.963893,0.887285
59,0.963547,0.886484
60,0.963214,0.88569
61,0.962888,0.884905
62,0.962568,0.884114
63,0.962255,0.883331
64,0.961945,0.882543
65,0.961641,0.881751
66,0.961342,0.880956
67,0.961046,0.880154
68,0.960754,0.879352
69,0.960465,0.878537
70,0.960179,0.877717
71,0.959897,0.876895
72,0.959617,0.876065
73,0.959343,0.875234
74,0.959069,0.874392
75,0.958803,0.873552
76,0.958535,0.872706
77,0.958276,0.871853
78,0.958017,0.871001
79,0.957766,0.870149
80,0.957517,0.869293
81,0.957272,0.868441
82,0.957033,0.867584
83,0.956799,0.866734
84,0.956569,0.865881
85,0.956343,0.865032
86,0.956121,0.86418
87,0.955906,0.863333
88,0.955696,0.86249
89,0.955488,0.861652
90,0.955286,0.860817
91,0.955088,0.859986
92,0.954897,0.859158
93,0.954706,0.858335
94,0.954522,0.857514
95,0.954342,0.856703
96,0.954165,0.855895
97,0.953996,0.855092
98,0.953828,0.854294
99,0.953663,0.853501
100,0.953503,0.852713
101,0.953347,0.851935
102,0.953195,0.851161
103,0.953047,0.850389
104,0.952902,0.849625
105,0.952762,0.848864
106,0.952626,0.848109
107,0.95249,0.847364
108,0.95236,0.846626
109,0.952232,0.845891
110,0.95211,0.845168
111,0.951989,0.844447
112,0.951871,0.843733
113,0.951757,0.843024
114,0.951644,0.842327
115,0.951539,0.841631
116,0.951432,0.840947
117,0.951332,0.840269
118,0.95123,0.839594
119,0.951134,0.838928
120,0.951038,0.838267
121,0.950944,0.837616
122,0.950857,0.836974
123,0.950769,0.836328
124,0.950688,0.835699
125,0.950603,0.835073
126,0.950526,0.834455
127,0.950446,0.833848
128,0.950371,0.833242
129,0.950299,0.832648
130,0.950228,0.832059
131,0.950157,0.831473
132,0.95009,0.830895
133,0.950025,0.830326
134,0.949963,0.829765
135,0.949902,0.829207
136,0.949842,0.828657
137,0.949783,0.828115
138,0.949726,0.827583
139,0.949673,0.827053
140,0.949619,0.82653
141,0.949569,0.826014
142,0.949519,0.825503
143,0.94947,0.825002
144,0.949426,0.824505
145,0.949379,0.824013
146,0.949334,0.823528
147,0.949293,0.823052
148,0.949251,0.822583
149,0.949213,0.822118
150,0.949172,0.821658
151,0.949136,0.821206
152,0.949098,0.820756
153,0.949063,0.820315
154,0.949031,0.81988
155,0.948997,0.819452
156,0.948965,0.819025
157,0.948935,0.818606
158,0.948905,0.818195
159,0.948874,0.817787
160,0.948848,0.817385
161,0.948817,0.816988
162,0.948793,0.816596
163,0.948768,0.816213
164,0.948743,0.815833
165,0.94872,0.815458
166,0.948696,0.815087
167,0.948674,0.814721
168,0.948652,0.814359
169,0.948631,0.814004
170,0.948611,0.813653
171,0.948592,0.813306
172,0.948574,0.812967
173,0.948555,0.812628
174,0.948538,0.812295
175,0.948521,0.811968
176,0.948505,0.811644
177,0.948486,0.811325
178,0.948475,0.811012
179,0.948459,0.810703
180,0.948444,0.810397
181,0.948431,0.810095
182,0.948416,0.809796
183,0.948407,0.8095
184,0.948393,0.809213
185,0.948382,0.808925
186,0.948369,0.808643
187,0.948359,0.808364
188,0.948349,0.80809
189,0.948337,0.807815
190,0.948328,0.80755
191,0.948319,0.807286
192,0.948311,0.807026
193,0.948301,0.806768
194,0.948294,0.806515
195,0.948284,0.806266
196,0.948277,0.806019
197,0.948272,0.805776
198,0.948261,0.805536
199,0.948256,0.8053
200,0.948252,0.805067
201,0.948245,0.804838
202,0.948237,0.80461
203,0.948231,0.804384
204,0.948226,0.804163
205,0.948219,0.803943
206,0.948215,0.803726
207,0.948213,0.803515
208,0.948208,0.803302
209,0.948202,0.803096
210,0.948196,0.802891
211,0.948194,0.802689
212,0.94819,0.802491
213,0.948186,0.802291
214,0.948182,0.802097
215,0.948179,0.801904
216,0.948175,0.801715
217,0.948172,0.801528
218,0.948169,0.801343
219,0.948168,0.801159
220,0.948166,0.800978
221,0.948162,0.8008
222,0.94816,0.800628
223,0.948157,0.800455
224,0.948156,0.800286
225,0.948156,0.800115
226,0.948154,0.799948
227,0.948153,0.799786
228,0.948152,0.799622
229,0.94815,0.799462
230,0.94815,0.799305
231,0.948149,0.799146
232,0.948148,0.798993
233,0.948146,0.798842
234,0.948145,0.798693
235,0.948143,0.798544
236,0.948144,0.798398
237,0.948144,0.798253
238,0.948144,0.79811
239,0.948143,0.79797
240,0.948144,0.79783
241,0.948141,0.797692
242,0.94814,0.797557
243,0.948142,0.797421
244,0.948141,0.797289
245,0.948142,0.797156
246,0.948141,0.797026
247,0.948143,0.796899
248,0.948142,0.796772
249,0.948142,0.796649
250,0.948143,0.796527
251,0.948143,0.796404
252,0.948145,0.796283
253,0.948144,0.796165
254,0.948144,0.796048
255,0.948145,0.795934
256,0.948145,0.795818
257,0.948145,0.795705
258,0.948145,0.795594
259,0.948147,0.795481
260,0.948149,0.795372
261,0.948149,0.795265
262,0.948149,0.795159
263,0.94815,0.795054
264,0.948152,0.794948
265,0.948153,0.794845
266,0.948153,0.794744
267,0.948153,0.794643
268,0.948155,0.794544
269,0.948156,0.794445
270,0.948158,0.794349
271,0.948158,0.794253
272,0.94816,0.79416
273,0.948162,0.794065
274,0.948162,0.793975
275,0.948164,0.793884
276,0.948164,0.793796
277,0.948165,0.793705
278,0.948167,0.793618
279,0.948168,0.793531
280,0.94817,0.793444
281,0.948169,0.793358
282,0.948173,0.793274
283,0.948173,0.79319
284,0.948173,0.793108
285,0.948176,0.793028
286,0.948177,0.792948
287,0.948178,0.792869
288,0.94818,0.792791
289,0.948182,0.792713
290,0.948183,0.792636
291,0.948182,0.792563
292,0.948186,0.792488
293,0.948186,0.792412
294,0.948188,0.79234
295,0.948189,0.792267
296,0.948188,0.792195
297,0.94819,0.792124
298,0.948191,0.792055
299,0.948194,0.791986
300,0.948198,0.791918
301,0.948198,0.791852
302,0.9482,0.791785
303,0.9482,0.79172
304,0.948203,0.791654
305,0.948204,0.791589
306,0.948205,0.791527
307,0.948206,0.791464
308,0.948207,0.791403
309,0.948209,0.791341
310,0.948209,0.791281
311,0.94821,0.791221
312,0.948212,0.791161
313,0.948214,0.791104
314,0.948215,0.791045
315,0.948217,0.790987
316,0.948219,0.79093
317,0.94822,0.790875
318,0.948221,0.790818
319,0.948222,0.790763
320,0.948226,0.790708
321,0.948225,0.790655
322,0.948228,0.790601
323,0.948229,0.790548
324,0.948229,0.790498
325,0.948232,0.790446
326,0.948232,0.790394
327,0.948234,0.790343
