iter,loss_dev,loss_train
141,0.94086,0.763735
142,0.940878,0.762848
143,0.940897,0.761972
144,0.940917,0.761105
145,0.94094,0.760251
146,0.940962,0.759406
147,0.940984,0.758576
148,0.941009,0.757755
149,0.941036,0.756946
150,0.941065,0.756148
151,0.94109,0.755356
152,0.941118,0.754578
153,0.941146,0.753809
154,0.941176,0.753052
155,0.941207,0.752304
156,0.941238,0.751569
157,0.941271,0.75084
158,0.941302,0.750124
159,0.941337,0.749416
160,0.94137,0.748718
161,0.941403,0.748026
162,0.941435,0.747344
163,0.94147,0.746674
164,0.941506,0.746012
165,0.94154,0.745358
166,0.941579,0.744711
167,0.941611,0.744076
168,0.941647,0.74345
169,0.941683,0.742831
170,0.94172,0.742218
171,0.941756,0.741616
172,0.941794,0.741023
173,0.941829,0.740434
174,0.941867,0.739855
175,0.941904,0.73928
176,0.941939,0.738719
177,0.941978,0.738162
178,0.942013,0.737611
179,0.942051,0.737072
180,0.942086,0.736539
181,0.942125,0.736008
182,0.942162,0.735488
183,0.942201,0.734972
184,0.942236,0.734466
185,0.942273,0.733965
186,0.942308,0.733473
187,0.942347,0.732987
188,0.942383,0.732508
189,0.942421,0.732035
190,0.942456,0.731565
191,0.942493,0.731103
192,0.942528,0.730645
193,0.942565,0.730197
194,0.9426,0.729755
195,0.942634,0.729317
196,0.942671,0.728885
197,0.942707,0.728457
198,0.942742,0.728037
199,0.942775,0.727621
200,0.942812,0.727212
201,0.942845,0.726807
202,0.94288,0.726407
203,0.942915,0.726013
204,0.942951,0.725624
205,0.942981,0.725238
206,0.943018,0.724858
207,0.94305,0.724485
208,0.943083,0.724115
209,0.943114,0.723752
210,0.943149,0.723391
211,0.943182,0.723033
212,0.943213,0.722683
213,0.943245,0.722336
214,0.943277,0.721993
215,0.943308,0.721655
216,0.943342,0.721323
217,0.943374,0.720993
218,0.943403,0.720669
219,0.943432,0.720347
220,0.943464,0.72003
221,0.943493,0.719717
222,0.943526,0.719409
223,0.943555,0.719103
224,0.943584,0.718801
225,0.943613,0.718505
226,0.943643,0.718211
227,0.943672,0.717922
228,0.9437,0.717635
229,0.94373,0.71735
230,0.943757,0.717072
231,0.943783,0.716795
232,0.943814,0.716521
233,0.943841,0.716253
